sample_id,image_path,ground_truth,stay_positive_score,stay_positive_postcal_prediction,official_fsd_prediction,fsd_finetune_v1_prediction,fsd_finetune_v2_prediction,conflict_count,conflict_type,priority_score
adm_auto_2143,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/421_adm_153.PNG,fake,0.5924783011905372,fake,real,real,real,3,strong_conflict,30.203660
adm_auto_2720,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/508_adm_174.PNG,fake,0.5905729393524819,fake,real,real,real,3,strong_conflict,30.201755
adm_auto_2875,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/531_adm_153.PNG,fake,0.5681008981251455,fake,real,real,real,3,strong_conflict,30.179283
adm_auto_0355,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/153_adm_153.PNG,fake,0.5623095564953385,fake,real,real,real,3,strong_conflict,30.173492
adm_auto_2984,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/548_adm_174.PNG,fake,0.5554500514936569,fake,real,real,real,3,strong_conflict,30.166632
adm_auto_1421,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/312_adm_85.PNG,fake,0.5554119333101541,fake,real,real,real,3,strong_conflict,30.166594
adm_auto_1390,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/308_adm_7.PNG,fake,0.5490807328184251,fake,real,real,real,3,strong_conflict,30.160263
adm_auto_1383,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/307_adm_34.PNG,fake,0.5393903817525771,fake,real,real,real,3,strong_conflict,30.150572
adm_auto_0280,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/141_adm_7.PNG,fake,0.5336655471822973,fake,real,real,real,3,strong_conflict,30.144848
adm_auto_2252,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/438_adm_174.PNG,fake,0.5264720065346697,fake,real,real,real,3,strong_conflict,30.137654
adm_auto_1438,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/315_adm_7.PNG,fake,0.5252402873153506,fake,real,real,real,3,strong_conflict,30.136422
adm_auto_2693,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/503_adm_85.PNG,fake,0.5238951223644289,fake,real,real,real,3,strong_conflict,30.135077
adm_auto_2537,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/480_adm_85.PNG,fake,0.519792714333759,fake,real,real,real,3,strong_conflict,30.130975
