sample_id,image_path,ground_truth,stay_positive_prediction,stay_positive_score,official_fsd_prediction,official_fsd_score,fsd_finetune_v1_prediction,fsd_finetune_v1_score,fsd_finetune_v2_prediction,fsd_finetune_v2_score,stay_positive_postcal_prediction,official_match,v1_match,v2_match,match_count,conflict_count,all_fsd_real,all_fsd_fake,conflict_pattern,prompt_type,file_index,score_bin_left,score_bin
adm_auto_0001,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/0_adm_153.PNG,fake,real,0.4491638211230541,fake,0.763671875,fake,0.7783203125,fake,0.65673828125,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_153,0,0.44,0.44-0.46
adm_auto_0002,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/0_adm_174.PNG,fake,real,0.4445561883172096,fake,0.50537109375,fake,0.537109375,real,0.399169921875,fake,True,True,False,2,1,False,False,SP=fake;FSD=fake/fake/real,adm_174,0,0.44,0.44-0.46
adm_auto_0003,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/0_adm_34.PNG,fake,real,0.4201140705222974,fake,0.865234375,fake,0.74853515625,fake,0.91015625,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_34,0,0.42,0.42-0.44
adm_auto_0004,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/0_adm_7.PNG,fake,real,0.4155332567772452,fake,0.87353515625,fake,0.8046875,fake,0.88671875,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_7,0,0.4,0.40-0.42
adm_auto_0005,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/0_adm_85.PNG,fake,real,0.4188036882710579,fake,0.87060546875,fake,0.7919921875,fake,0.951171875,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_85,0,0.4,0.40-0.42
adm_auto_0006,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/0_adm_91.PNG,fake,real,0.442216150506215,fake,0.6025390625,real,0.443603515625,real,0.466796875,fake,True,False,False,1,2,False,False,SP=fake;FSD=fake/real/real,adm_91,0,0.44,0.44-0.46
adm_auto_0007,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/100_adm_153.PNG,fake,real,0.3858134421507611,real,0.281005859375,real,0.347412109375,real,0.234375,real,True,True,True,3,0,True,False,SP=real;FSD=real/real/real,adm_153,100,0.38,0.38-0.40
adm_auto_0008,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/100_adm_174.PNG,fake,real,0.3916185859313549,real,0.2197265625,real,0.216552734375,real,0.2117919921875,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_174,100,0.38,0.38-0.40
adm_auto_0009,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/100_adm_34.PNG,fake,real,0.4069926179519433,real,0.375244140625,real,0.438232421875,real,0.445556640625,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_34,100,0.4,0.40-0.42
adm_auto_0010,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/100_adm_7.PNG,fake,real,0.390533873990149,real,0.2454833984375,real,0.355224609375,real,0.241455078125,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_7,100,0.38,0.38-0.40
adm_auto_0011,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/100_adm_85.PNG,fake,real,0.3974125715934481,real,0.060089111328125,real,0.12548828125,real,0.0838623046875,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_85,100,0.38,0.38-0.40
adm_auto_0012,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/100_adm_91.PNG,fake,real,0.4054928746189365,real,0.116943359375,real,0.11395263671875,real,0.08477783203125,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_91,100,0.4,0.40-0.42
adm_auto_0013,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/101_adm_153.PNG,fake,real,0.4312876209073073,fake,0.9033203125,fake,0.81103515625,fake,0.90478515625,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_153,101,0.42,0.42-0.44
adm_auto_0014,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/101_adm_174.PNG,fake,real,0.4059135841463355,real,0.486328125,real,0.408447265625,fake,0.53271484375,fake,False,False,True,1,2,False,False,SP=fake;FSD=real/real/fake,adm_174,101,0.4,0.40-0.42
adm_auto_0015,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/101_adm_34.PNG,fake,real,0.3905671159758787,real,0.2281494140625,real,0.2254638671875,real,0.322509765625,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_34,101,0.38,0.38-0.40
adm_auto_0016,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/101_adm_7.PNG,fake,real,0.3980816355952472,real,0.2193603515625,real,0.329833984375,real,0.32177734375,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_7,101,0.38,0.38-0.40
adm_auto_0017,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/101_adm_85.PNG,fake,real,0.3949861761281437,real,0.2203369140625,real,0.325439453125,real,0.416748046875,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_85,101,0.38,0.38-0.40
adm_auto_0018,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/101_adm_91.PNG,fake,real,0.3718800372402884,real,0.26513671875,real,0.257568359375,real,0.400634765625,real,True,True,True,3,0,True,False,SP=real;FSD=real/real/real,adm_91,101,0.36,0.36-0.38
adm_auto_0019,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/102_adm_153.PNG,fake,real,0.4447787340571777,real,0.337158203125,real,0.303955078125,real,0.4111328125,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_153,102,0.44,0.44-0.46
adm_auto_0020,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/102_adm_174.PNG,fake,real,0.3749140313879533,real,0.313720703125,real,0.34375,real,0.251220703125,real,True,True,True,3,0,True,False,SP=real;FSD=real/real/real,adm_174,102,0.36,0.36-0.38
adm_auto_0021,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/102_adm_34.PNG,fake,real,0.3962513444529945,real,0.33544921875,real,0.359130859375,real,0.33984375,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_34,102,0.38,0.38-0.40
